Senat;Entscheidungsdatum;Einspieldatum;Aktenzeichen;Link_Aktenzeichen;Zusatzinformationen;Unique_nr;Link_Zusatzinformationen
5. Strafsenat;20.11.2023;4.12.2023;5 StR 333/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135600&pos=581&anz=1274&Blank=1.pdf;;135600;[]
5. Strafsenat;20.11.2023;22.12.2023;5 StR 341/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135807&pos=582&anz=1274&Blank=1.pdf;;135807;[]
5. Strafsenat;20.11.2023;9.1.2024;5 StR 342/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135987&pos=583&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 200/23  vom 4.12.2023;135987;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135617&linked=pm&Blank=1']
5. Strafsenat;20.11.2023;8.12.2023;5 StR 402/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135677&pos=584&anz=1274&Blank=1.pdf;;135677;[]
5. Strafsenat;20.11.2023;5.12.2023;5 StR 407/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135626&pos=585&anz=1274&Blank=1.pdf;;135626;[]
Kartellsenat;20.11.2023;14.12.2023;EnVR 25/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135730&pos=586&anz=1274&Blank=1.pdf;;135730;[]
Kartellsenat;20.11.2023;14.12.2023;EnVR 26/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135731&pos=587&anz=1274&Blank=1.pdf;;135731;[]
VIa. Zivilsenat;20.11.2023;2.1.2024;VIa ZR 1/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135877&pos=588&anz=1274&Blank=1.pdf;;135877;[]
VIa. Zivilsenat;20.11.2023;20.12.2023;VIa ZR 119/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135793&pos=589&anz=1274&Blank=1.pdf;;135793;[]
VIa. Zivilsenat;20.11.2023;5.1.2024;VIa ZR 133/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135944&pos=590&anz=1274&Blank=1.pdf;;135944;[]
VIa. Zivilsenat;20.11.2023;11.12.2023;VIa ZR 289/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135693&pos=591&anz=1274&Blank=1.pdf;;135693;[]
VIa. Zivilsenat;20.11.2023;2.1.2024;VIa ZR 319/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135880&pos=592&anz=1274&Blank=1.pdf;;135880;[]
VIa. Zivilsenat;20.11.2023;19.1.2024;VIa ZR 323/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=136100&pos=593&anz=1274&Blank=1.pdf;;136100;[]
VIa. Zivilsenat;20.11.2023;17.1.2024;VIa ZR 367/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=136085&pos=594&anz=1274&Blank=1.pdf;;136085;[]
VIa. Zivilsenat;20.11.2023;18.12.2023;VIa ZR 445/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135764&pos=595&anz=1274&Blank=1.pdf;;135764;[]
VIa. Zivilsenat;20.11.2023;21.12.2023;VIa ZR 661/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135800&pos=596&anz=1274&Blank=1.pdf;;135800;[]
VIa. Zivilsenat;20.11.2023;15.12.2023;VIa ZR 668/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135749&pos=597&anz=1274&Blank=1.pdf;;135749;[]
VIa. Zivilsenat;20.11.2023;8.12.2023;VIa ZR 934/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135682&pos=598&anz=1274&Blank=1.pdf;;135682;[]
VIa. Zivilsenat;20.11.2023;1.12.2023;VIa ZR 938/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=19&nr=135593&pos=599&anz=1274&Blank=1.pdf;;135593;[]
VIa. Zivilsenat;20.11.2023;7.12.2023;VIa ZR 988/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135668&pos=600&anz=1274&Blank=1.pdf;;135668;[]
3. Strafsenat;17.11.2023;15.12.2023;3 StR 294/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135741&pos=601&anz=1274&Blank=1.pdf;;135741;[]
V. Zivilsenat;17.11.2023;29.11.2023;V ZR 192/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135567&pos=602&anz=1274&Blank=1.pdf;"Leitsatzentscheidung

siehe auch: Pressemitteilung Nr. 190/23  vom 17.11.2023,
     Pressemitteilung Nr. 109/23  vom 11.7.2023";135567;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135432&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=134053&linked=pm&Blank=1']
1. Strafsenat;16.11.2023;15.12.2023;1 StR 378/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135734&pos=603&anz=1274&Blank=1.pdf;;135734;[]
2. Strafsenat;16.11.2023;25.1.2024;2 StR 138/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=136162&pos=604&anz=1274&Blank=1.pdf;;136162;[]
2. Strafsenat;16.11.2023;25.1.2024;2 StR 138/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=136163&pos=605&anz=1274&Blank=1.pdf;;136163;[]
2. Strafsenat;16.11.2023;24.11.2023;2 StR 243/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135505&pos=606&anz=1274&Blank=1.pdf;;135505;[]
3. Strafsenat;16.11.2023;11.1.2024;3 StR 72/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=136003&pos=607&anz=1274&Blank=1.pdf;;136003;[]
6. Strafsenat;16.11.2023;18.12.2023;6 StR 332/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135757&pos=608&anz=1274&Blank=1.pdf;;135757;[]
6. Strafsenat;16.11.2023;15.12.2023;6 StR 362/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135745&pos=609&anz=1274&Blank=1.pdf;;135745;[]
6. Strafsenat;16.11.2023;19.12.2023;6 StR 408/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135776&pos=610&anz=1274&Blank=1.pdf;;135776;[]
6. Strafsenat;16.11.2023;5.12.2023;6 StR 452/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135627&pos=611&anz=1274&Blank=1.pdf;;135627;[]
6. Strafsenat;16.11.2023;5.12.2023;6 StR 481/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135628&pos=612&anz=1274&Blank=1.pdf;;135628;[]
Dienstgericht des Bundes;16.11.2023;4.12.2023;RiSt 1/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135605&pos=613&anz=1274&Blank=1.pdf;;135605;[]
V. Zivilsenat;16.11.2023;6.12.2023;V ZR 234/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135641&pos=614&anz=1274&Blank=1.pdf;;135641;[]
1. Strafsenat;15.11.2023;13.12.2023;1 StR 104/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135706&pos=615&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 189/23  vom 15.11.2023;135706;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135393&linked=pm&Blank=1']
1. Strafsenat;15.11.2023;1.12.2023;1 StR 187/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135581&pos=616&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 169/23  vom 12.10.2023;135581;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135023&linked=pm&Blank=1']
1. Strafsenat;15.11.2023;3.1.2024;1 StR 369/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135888&pos=617&anz=1274&Blank=1.pdf;;135888;[]
2. Strafsenat;15.11.2023;13.12.2023;2 ARs 298/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135710&pos=618&anz=1274&Blank=1.pdf;;135710;[]
2. Strafsenat;15.11.2023;13.12.2023;2 ARs 386/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135711&pos=619&anz=1274&Blank=1.pdf;;135711;[]
2. Strafsenat;15.11.2023;9.1.2024;2 StR 327/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135964&pos=620&anz=1274&Blank=1.pdf;;135964;[]
4. Strafsenat;15.11.2023;28.11.2023;4 StR 239/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135538&pos=621&anz=1274&Blank=1.pdf;;135538;[]
4. Strafsenat;15.11.2023;4.12.2023;4 StR 372/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135599&pos=622&anz=1274&Blank=1.pdf;;135599;[]
6. Strafsenat;15.11.2023;18.12.2023;6 StR 327/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135756&pos=623&anz=1274&Blank=1.pdf;;135756;[]
6. Strafsenat;15.11.2023;19.12.2023;6 StR 419/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135777&pos=624&anz=1274&Blank=1.pdf;;135777;[]
6. Strafsenat;15.11.2023;4.12.2023;6 StR 470/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135602&pos=625&anz=1274&Blank=1.pdf;;135602;[]
6. Strafsenat;15.11.2023;6.2.2024;6 StR 488/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=136314&pos=626&anz=1274&Blank=1.pdf;;136314;[]
6. Strafsenat;15.11.2023;13.12.2023;6 StR 508/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135714&pos=627&anz=1274&Blank=1.pdf;;135714;[]
IV. Zivilsenat;15.11.2023;17.1.2024;IV ZB 6/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=136071&pos=628&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136071;[]
IV. Zivilsenat;15.11.2023;9.1.2024;IV ZR 277/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=20&nr=135979&pos=629&anz=1274&Blank=1.pdf;Leitsatzentscheidung;135979;[]
XII. Zivilsenat;15.11.2023;28.12.2023;XII ZB 222/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135833&pos=630&anz=1274&Blank=1.pdf;;135833;[]
XII. Zivilsenat;15.11.2023;19.1.2024;XII ZB 575/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136101&pos=631&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136101;[]
1. Strafsenat;14.11.2023;22.2.2024;1 StR 142/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136535&pos=632&anz=1274&Blank=1.pdf;;136535;[]
1. Strafsenat;14.11.2023;22.2.2024;1 StR 142/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136536&pos=633&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136536;[]
1. Strafsenat;14.11.2023;30.11.2023;1 StR 224/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135568&pos=634&anz=1274&Blank=1.pdf;;135568;[]
1. Strafsenat;14.11.2023;24.11.2023;1 StR 354/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135503&pos=635&anz=1274&Blank=1.pdf;;135503;[]
2. Strafsenat;14.11.2023;5.12.2023;2 StR 292/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135620&pos=636&anz=1274&Blank=1.pdf;;135620;[]
2. Strafsenat;14.11.2023;14.12.2023;2 StR 441/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135728&pos=637&anz=1274&Blank=1.pdf;;135728;[]
3. Strafsenat;14.11.2023;24.1.2024;3 StR 141/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136145&pos=638&anz=1274&Blank=1.pdf;"Leitsatzentscheidung

siehe auch: Pressemitteilung Nr. 15/24  vom 23.1.2024";136145;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136138&linked=pm&Blank=1']
3. Strafsenat;14.11.2023;9.1.2024;3 StR 221/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135967&pos=639&anz=1274&Blank=1.pdf;;135967;[]
3. Strafsenat;14.11.2023;29.12.2023;3 StR 230/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135849&pos=640&anz=1274&Blank=1.pdf;;135849;[]
3. Strafsenat;14.11.2023;20.2.2024;3 StR 355/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136498&pos=641&anz=1274&Blank=1.pdf;;136498;[]
3. Strafsenat;14.11.2023;17.1.2024;3 StR 369/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136064&pos=642&anz=1274&Blank=1.pdf;;136064;[]
3. Strafsenat;14.11.2023;11.1.2024;3 StR 375/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136005&pos=643&anz=1274&Blank=1.pdf;;136005;[]
4. Strafsenat;14.11.2023;28.11.2023;4 StR 239/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135537&pos=644&anz=1274&Blank=1.pdf;;135537;[]
6. Strafsenat;14.11.2023;18.12.2023;6 StR 345/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135758&pos=645&anz=1274&Blank=1.pdf;;135758;[]
6. Strafsenat;14.11.2023;28.11.2023;6 StR 346/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135545&pos=646&anz=1274&Blank=1.pdf;;135545;[]
6. Strafsenat;14.11.2023;9.1.2024;6 StR 394/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135989&pos=647&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 193/23  vom 21.11.2023;135989;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135472&linked=pm&Blank=1']
6. Strafsenat;14.11.2023;28.11.2023;6 StR 484/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135547&pos=648&anz=1274&Blank=1.pdf;;135547;[]
6. Strafsenat;14.11.2023;27.12.2023;6 StR 495/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135825&pos=649&anz=1274&Blank=1.pdf;Leitsatzentscheidung;135825;[]
6. Strafsenat;14.11.2023;28.11.2023;6 StR 505/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135548&pos=650&anz=1274&Blank=1.pdf;;135548;[]
II. Zivilsenat;14.11.2023;13.12.2023;II ZR 94/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135719&pos=651&anz=1274&Blank=1.pdf;;135719;[]
VI. Zivilsenat;14.11.2023;11.1.2024;VI ZR 244/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=136011&pos=652&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136011;[]
VI. Zivilsenat;14.11.2023;22.11.2023;VI ZR 380/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135488&pos=653&anz=1274&Blank=1.pdf;;135488;[]
VI. Zivilsenat;14.11.2023;29.12.2023;VI ZR 98/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135856&pos=654&anz=1274&Blank=1.pdf;Leitsatzentscheidung;135856;[]
X. Zivilsenat;14.11.2023;7.12.2023;X ZR 115/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135672&pos=655&anz=1274&Blank=1.pdf;Leitsatzentscheidung;135672;[]
X. Zivilsenat;14.11.2023;9.1.2024;X ZR 30/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135985&pos=656&anz=1274&Blank=1.pdf;"Polsterumarbeitungsmaschine
Leitsatzentscheidung";135985;[]
X. Zivilsenat;14.11.2023;2.1.2024;X ZR 75/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135883&pos=657&anz=1274&Blank=1.pdf;"Kunststoffsack
Leitsatzentscheidung";135883;[]
X. Zivilsenat;14.11.2023;7.12.2023;X ZR 93/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135671&pos=658&anz=1274&Blank=1.pdf;;135671;[]
XI. Zivilsenat;14.11.2023;18.12.2023;XI ZA 2/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=21&nr=135766&pos=659&anz=1274&Blank=1.pdf;;135766;[]
XI. Zivilsenat;14.11.2023;12.12.2023;XI ZB 10/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135703&pos=660&anz=1274&Blank=1.pdf;;135703;[]
XI. Zivilsenat;14.11.2023;16.2.2024;XI ZB 2/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=136476&pos=661&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136476;[]
XI. Zivilsenat;14.11.2023;2.1.2024;XI ZR 88/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135885&pos=662&anz=1274&Blank=1.pdf;Leitsatzentscheidung;135885;[]
3. Strafsenat;13.11.2023;15.12.2023;3 ZB 2/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135743&pos=663&anz=1274&Blank=1.pdf;;135743;[]
I. Zivilsenat;13.11.2023;8.12.2023;I ZB 108/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135678&pos=664&anz=1274&Blank=1.pdf;;135678;[]
Senat für Notarsachen;13.11.2023;19.2.2024;NotZ (Brfg) 4/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=136490&pos=665&anz=1274&Blank=1.pdf;;136490;[]
Senat für Notarsachen;13.11.2023;2.1.2024;NotZ (Brfg) 7/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135876&pos=666&anz=1274&Blank=1.pdf;Leitsatzentscheidung;135876;[]
Senat für Notarsachen;13.11.2023;19.2.2024;NotZ 1/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=136494&pos=667&anz=1274&Blank=1.pdf;;136494;[]
VIa. Zivilsenat;13.11.2023;1.12.2023;VIa ZR 1041/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135587&pos=668&anz=1274&Blank=1.pdf;;135587;[]
VIa. Zivilsenat;13.11.2023;15.12.2023;VIa ZR 1065/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135748&pos=669&anz=1274&Blank=1.pdf;;135748;[]
VIa. Zivilsenat;13.11.2023;30.11.2023;VIa ZR 1179/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135576&pos=670&anz=1274&Blank=1.pdf;;135576;[]
VIa. Zivilsenat;13.11.2023;7.12.2023;VIa ZR 1188/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135660&pos=671&anz=1274&Blank=1.pdf;;135660;[]
VIa. Zivilsenat;13.11.2023;4.12.2023;VIa ZR 1251/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135608&pos=672&anz=1274&Blank=1.pdf;;135608;[]
VIa. Zivilsenat;13.11.2023;11.1.2024;VIa ZR 129/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=136014&pos=673&anz=1274&Blank=1.pdf;;136014;[]
VIa. Zivilsenat;13.11.2023;2.1.2024;VIa ZR 147/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135879&pos=674&anz=1274&Blank=1.pdf;;135879;[]
VIa. Zivilsenat;13.11.2023;11.12.2023;VIa ZR 1530/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135692&pos=675&anz=1274&Blank=1.pdf;;135692;[]
VIa. Zivilsenat;13.11.2023;7.12.2023;VIa ZR 252/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135663&pos=676&anz=1274&Blank=1.pdf;;135663;[]
VIa. Zivilsenat;13.11.2023;12.1.2024;VIa ZR 303/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=136034&pos=677&anz=1274&Blank=1.pdf;;136034;[]
VIa. Zivilsenat;13.11.2023;9.1.2024;VIa ZR 387/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135981&pos=678&anz=1274&Blank=1.pdf;;135981;[]
VIa. Zivilsenat;13.11.2023;12.12.2023;VIa ZR 390/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135702&pos=679&anz=1274&Blank=1.pdf;;135702;[]
VIa. Zivilsenat;13.11.2023;4.12.2023;VIa ZR 429/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135609&pos=680&anz=1274&Blank=1.pdf;;135609;[]
VIa. Zivilsenat;13.11.2023;7.12.2023;VIa ZR 510/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135665&pos=681&anz=1274&Blank=1.pdf;;135665;[]
VIa. Zivilsenat;13.11.2023;24.11.2023;VIa ZR 57/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135515&pos=682&anz=1274&Blank=1.pdf;;135515;[]
VIa. Zivilsenat;13.11.2023;7.12.2023;VIa ZR 582/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135666&pos=683&anz=1274&Blank=1.pdf;;135666;[]
VIa. Zivilsenat;13.11.2023;7.12.2023;VIa ZR 591/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135667&pos=684&anz=1274&Blank=1.pdf;;135667;[]
VIa. Zivilsenat;13.11.2023;24.11.2023;VIa ZR 597/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135517&pos=685&anz=1274&Blank=1.pdf;;135517;[]
VIa. Zivilsenat;13.11.2023;3.1.2024;VIa ZR 693/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135912&pos=686&anz=1274&Blank=1.pdf;;135912;[]
VIa. Zivilsenat;13.11.2023;3.1.2024;VIa ZR 717/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=22&nr=135913&pos=687&anz=1274&Blank=1.pdf;;135913;[]
