Senat;Entscheidungsdatum;Einspieldatum;Aktenzeichen;Link_Aktenzeichen;Zusatzinformationen;Unique_nr;Link_Zusatzinformationen
VI. Zivilsenat;12.12.2023;24.1.2024;VI ZR 277/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136155&pos=353&anz=1274&Blank=1.pdf;;136155;[]
VI. Zivilsenat;12.12.2023;2.2.2024;VI ZR 76/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136266&pos=354&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136266;[]
VI. Zivilsenat;12.12.2023;23.1.2024;VI ZR 77/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136134&pos=355&anz=1274&Blank=1.pdf;"Leitsatzentscheidung

siehe auch: Pressemitteilung Nr. 12/24  vom 23.1.2024";136134;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136133&linked=pm&Blank=1']
VIII. Zivilsenat;12.12.2023;29.1.2024;VIII ZR 22/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136209&pos=356&anz=1274&Blank=1.pdf;;136209;[]
XI. Zivilsenat;12.12.2023;12.1.2024;XI ZB 18/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136037&pos=357&anz=1274&Blank=1.pdf;;136037;[]
XI. Zivilsenat;12.12.2023;12.1.2024;XI ZB 20/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=136038&pos=358&anz=1274&Blank=1.pdf;;136038;[]
1. Strafsenat;11.12.2023;29.12.2023;1 StR 276/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=11&nr=135840&pos=359&anz=1274&Blank=1.pdf;;135840;[]
5. Strafsenat;11.12.2023;22.12.2023;5 StR 559/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135811&pos=360&anz=1274&Blank=1.pdf;;135811;[]
I. Zivilsenat;11.12.2023;4.1.2024;I ZB 68/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135921&pos=361&anz=1274&Blank=1.pdf;;135921;[]
I. Zivilsenat;11.12.2023;22.12.2023;I ZB 69/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135814&pos=362&anz=1274&Blank=1.pdf;;135814;[]
I. Zivilsenat;11.12.2023;22.12.2023;I ZR 89/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135815&pos=363&anz=1274&Blank=1.pdf;;135815;[]
VI. Zivilsenat;11.12.2023;4.1.2024;VI ZR 411/20;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135930&pos=364&anz=1274&Blank=1.pdf;;135930;[]
VIa. Zivilsenat;11.12.2023;19.1.2024;VIa ZR 1012/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136098&pos=365&anz=1274&Blank=1.pdf;;136098;[]
VIa. Zivilsenat;11.12.2023;17.1.2024;VIa ZR 1442/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136083&pos=366&anz=1274&Blank=1.pdf;;136083;[]
VIa. Zivilsenat;11.12.2023;11.1.2024;VIa ZR 148/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136015&pos=367&anz=1274&Blank=1.pdf;;136015;[]
VIa. Zivilsenat;11.12.2023;18.1.2024;VIa ZR 1502/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136093&pos=368&anz=1274&Blank=1.pdf;;136093;[]
VIa. Zivilsenat;11.12.2023;29.12.2023;VIa ZR 1684/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135859&pos=369&anz=1274&Blank=1.pdf;;135859;[]
VIa. Zivilsenat;11.12.2023;17.1.2024;VIa ZR 318/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136084&pos=370&anz=1274&Blank=1.pdf;;136084;[]
VIa. Zivilsenat;11.12.2023;22.1.2024;VIa ZR 340/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136114&pos=371&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136114;[]
VIa. Zivilsenat;11.12.2023;2.2.2024;VIa ZR 574/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136268&pos=372&anz=1274&Blank=1.pdf;;136268;[]
VIa. Zivilsenat;11.12.2023;9.1.2024;VIa ZR 616/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135982&pos=373&anz=1274&Blank=1.pdf;;135982;[]
VIa. Zivilsenat;11.12.2023;31.1.2024;VIa ZR 680/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136239&pos=374&anz=1274&Blank=1.pdf;;136239;[]
VIa. Zivilsenat;11.12.2023;4.1.2024;VIa ZR 802/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135933&pos=375&anz=1274&Blank=1.pdf;;135933;[]
2. Strafsenat;7.12.2023;7.2.2024;2 StR 365/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136331&pos=376&anz=1274&Blank=1.pdf;;136331;[]
2. Strafsenat;7.12.2023;14.2.2024;2 StR 49/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136429&pos=377&anz=1274&Blank=1.pdf;;136429;[]
4. Strafsenat;7.12.2023;7.12.2023;4 StR 302/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135675&pos=378&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 206/23  vom 7.12.2023;135675;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135674&linked=pm&Blank=1']
5. Strafsenat;7.12.2023;14.2.2024;5 StR 168/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136433&pos=379&anz=1274&Blank=1.pdf;;136433;[]
5. Strafsenat;7.12.2023;19.2.2024;5 StR 418/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136479&pos=380&anz=1274&Blank=1.pdf;;136479;[]
Senat für Anwaltssachen;7.12.2023;1.2.2024;AnwZ (Brfg) 25/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136246&pos=381&anz=1274&Blank=1.pdf;;136246;[]
Senat für Anwaltssachen;7.12.2023;12.1.2024;AnwZ (Brfg) 30/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136027&pos=382&anz=1274&Blank=1.pdf;;136027;[]
